所属省份,区划名称,面积/平方公里,常住人口/万人（2010）,人口密度/人/平方公里,GDP/亿元,GDP年份,人均GDP/万元,省级序列,城市分级,流动人口/万人（2018）,流动人口/万人（2017）,铁路干线1-特等站,铁路干线2-五纵三横,民航年流量/万人（2018）前五十,民航年流量/万人（2018）前一百,经度,纬度,Suo Shu Sheng Fen ,Qu Hua Ming Cheng
湖北,神农架,"3,215.83",7,23.01,17,2012,2.27,,,,,,,,,110.671525,31.744449,Hu Bei ,Shen Nong Jia 
海南,三沙,20,1,500,10,2012,10,,,,,,,,,112.34882,16.831039,Hai Nan Suo Shu ShengFen ,San Sha
,,,,,,,,,,,,,,,,,,Shang Hai ,
,,,,,,,,,,,,,,,,,,Bei Jing ,
,,,,,,,,,,,,,,,,,,Guang Dong ,
,,,,,,,,,,,,,,,,,,Guang Dong ,
,,,,,,,,,,,,,,,,,,Tian Jin ,
,,,,,,,,,,,,,,,,,,Jiang Su ,
,,,,,,,,,,,,,,,,,,Chong Qing ,
,,,,,,,,,,,,,,,,,,Si Chuan ,
,,,,,,,,,,,,,,,,,,Hu Bei ,
,,,,,,,,,,,,,,,,,,Zhe Jiang ,
,,,,,,,,,,,,,,,,,,Jiang Su ,
,,,,,,,,,,,,,,,,,,Shan Dong ,
,,,,,,,,,,,,,,,,,,Jiang Su ,
,,,,,,,,,,,,,,,,,,Liao Ning ,
,,,,,,,,,,,,,,,,,,Guang Dong ,
,,,,,,,,,,,,,,,,,,Liao Ning ,
,,,,,,,,,,,,,,,,,,Zhe Jiang ,
,,,,,,,,,,,,,,,,,,Hu Nan,
,,,,,,,,,,,,,,,,,,He Bei ,
,,,,,,,,,,,,,,,,,,He Nan,
,,,,,,,,,,,,,,,,,,Shan Dong ,
,,,,,,,,,,,,,,,,,,Guang Dong ,
,,,,,,,,,,,,,,,,,,Shan Dong ,
,,,,,,,,,,,,,,,,,,Fu Jian ,
,,,,,,,,,,,,,,,,,,Hei Long Jiang ,
,,,,,,,,,,,,,,,,,,Jiang Su ,
,,,,,,,,,,,,,,,,,,Ji Lin ,
,,,,,,,,,,,,,,,,,,He Bei ,
,,,,,,,,,,,,,,,,,,Shan Xi ,
,,,,,,,,,,,,,,,,,,Fu Jian ,
,,,,,,,,,,,,,,,,,,An Hui ,
,,,,,,,,,,,,,,,,,,Hei Long Jiang ,
,,,,,,,,,,,,,,,,,,Jiang Su ,
,,,,,,,,,,,,,,,,,,Shan Dong ,
,,,,,,,,,,,,,,,,,,Jiang Su ,
,,,,,,,,,,,,,,,,,,Nei Meng ,
,,,,,,,,,,,,,,,,,,Zhe Jiang ,
,,,,,,,,,,,,,,,,,,Zhe Jiang ,
,,,,,,,,,,,,,,,,,,Shan Dong ,
,,,,,,,,,,,,,,,,,,Nei Meng ,
,,,,,,,,,,,,,,,,,,Shan Dong ,
,,,,,,,,,,,,,,,,,,Jiang Su ,
,,,,,,,,,,,,,,,,,,He Bei ,
,,,,,,,,,,,,,,,,,,Shan Dong ,
,,,,,,,,,,,,,,,,,,Yun Nan,
,,,,,,,,,,,,,,,,,,He Nan,
,,,,,,,,,,,,,,,,,,Shan Dong ,
,,,,,,,,,,,,,,,,,,Jiang Xi ,
,,,,,,,,,,,,,,,,,,Jiang Su ,
,,,,,,,,,,,,,,,,,,Zhe Jiang ,
,,,,,,,,,,,,,,,,,,Zhe Jiang ,
,,,,,,,,,,,,,,,,,,Fu Jian ,
,,,,,,,,,,,,,,,,,,He Bei ,
,,,,,,,,,,,,,,,,,,Shan Xi ,
,,,,,,,,,,,,,,,,,,He Bei ,
,,,,,,,,,,,,,,,,,,Jiang Su ,
,,,,,,,,,,,,,,,,,,Zhe Jiang ,
,,,,,,,,,,,,,,,,,,Ji Lin ,
,,,,,,,,,,,,,,,,,,Liao Ning ,
,,,,,,,,,,,,,,,,,,Jiang Su ,
,,,,,,,,,,,,,,,,,,Shan Dong ,
,,,,,,,,,,,,,,,,,,Guang Xi ,
,,,,,,,,,,,,,,,,,,Nei Meng ,
,,,,,,,,,,,,,,,,,,Hu Bei ,
,,,,,,,,,,,,,,,,,,Hu Bei ,
,,,,,,,,,,,,,,,,,,Guang Dong ,
,,,,,,,,,,,,,,,,,,Guang Dong ,
,,,,,,,,,,,,,,,,,,He Nan,
,,,,,,,,,,,,,,,,,,Shan Dong ,
,,,,,,,,,,,,,,,,,,Shan Xi ,
,,,,,,,,,,,,,,,,,,Shan Dong ,
,,,,,,,,,,,,,,,,,,Hu Nan,
,,,,,,,,,,,,,,,,,,Shan Dong ,
,,,,,,,,,,,,,,,,,,Hu Nan,
,,,,,,,,,,,,,,,,,,Xin Jiang ,
,,,,,,,,,,,,,,,,,,Fu Jian ,
,,,,,,,,,,,,,,,,,,Shan Dong ,
,,,,,,,,,,,,,,,,,,Hu Nan,
,,,,,,,,,,,,,,,,,,Guang Dong ,
,,,,,,,,,,,,,,,,,,Jiang Su ,
,,,,,,,,,,,,,,,,,,Guang Dong ,
,,,,,,,,,,,,,,,,,,An Hui ,
,,,,,,,,,,,,,,,,,,Guang Dong ,
,,,,,,,,,,,,,,,,,,Ning Xia ,
,,,,,,,,,,,,,,,,,,He Bei ,
,,,,,,,,,,,,,,,,,,Shan Dong ,
,,,,,,,,,,,,,,,,,,Guang Xi ,
,,,,,,,,,,,,,,,,,,Hu Nan,
,,,,,,,,,,,,,,,,,,Shan Dong ,
,,,,,,,,,,,,,,,,,,He Nan,
,,,,,,,,,,,,,,,,,,Gui Zhou ,
,,,,,,,,,,,,,,,,,,Nei Meng ,
,,,,,,,,,,,,,,,,,,Zhe Jiang ,
,,,,,,,,,,,,,,,,,,He Nan,
,,,,,,,,,,,,,,,,,,Shan Xi ,
,,,,,,,,,,,,,,,,,,Ji Lin ,
,,,,,,,,,,,,,,,,,,Jiang Su ,
,,,,,,,,,,,,,,,,,,He Nan,
,,,,,,,,,,,,,,,,,,He Nan,
,,,,,,,,,,,,,,,,,,He Nan,
,,,,,,,,,,,,,,,,,,Gan Su ,
,,,,,,,,,,,,,,,,,,Nei Meng ,
,,,,,,,,,,,,,,,,,,He Bei ,
,,,,,,,,,,,,,,,,,,Hu Nan,
,,,,,,,,,,,,,,,,,,Jiang Su ,
,,,,,,,,,,,,,,,,,,Hai Nan,
,,,,,,,,,,,,,,,,,,Jiang Xi ,
,,,,,,,,,,,,,,,,,,Guang Dong ,
,,,,,,,,,,,,,,,,,,He Nan,
,,,,,,,,,,,,,,,,,,Guang Xi ,
,,,,,,,,,,,,,,,,,,Guang Dong ,
,,,,,,,,,,,,,,,,,,Yun Nan,
,,,,,,,,,,,,,,,,,,Jiang Xi ,
,,,,,,,,,,,,,,,,,,He Nan,
,,,,,,,,,,,,,,,,,,Guang Dong ,
,,,,,,,,,,,,,,,,,,Shan Xi ,
,,,,,,,,,,,,,,,,,,He Nan,
,,,,,,,,,,,,,,,,,,Liao Ning ,
,,,,,,,,,,,,,,,,,,He Nan,
,,,,,,,,,,,,,,,,,,Guang Dong ,
,,,,,,,,,,,,,,,,,,Fu Jian ,
,,,,,,,,,,,,,,,,,,Gui Zhou ,
,,,,,,,,,,,,,,,,,,An Hui ,
,,,,,,,,,,,,,,,,,,Shan Dong ,
,,,,,,,,,,,,,,,,,,Si Chuan ,
,,,,,,,,,,,,,,,,,,Fu Jian ,
,,,,,,,,,,,,,,,,,,Nei Meng ,
,,,,,,,,,,,,,,,,,,Liao Ning ,
,,,,,,,,,,,,,,,,,,Shan Xi ,
,,,,,,,,,,,,,,,,,,Qing Hai ,
,,,,,,,,,,,,,,,,,,Hu Nan,
,,,,,,,,,,,,,,,,,,Si Chuan ,
,,,,,,,,,,,,,,,,,,Shan Xi ,
,,,,,,,,,,,,,,,,,,Liao Ning ,
,,,,,,,,,,,,,,,,,,Jiang Xi ,
,,,,,,,,,,,,,,,,,,Jiang Xi ,
,,,,,,,,,,,,,,,,,,Si Chuan ,
,,,,,,,,,,,,,,,,,,He Bei ,
,,,,,,,,,,,,,,,,,,An Hui ,
,,,,,,,,,,,,,,,,,,Shan Xi ,
,,,,,,,,,,,,,,,,,,Liao Ning ,
,,,,,,,,,,,,,,,,,,Shan Xi ,
,,,,,,,,,,,,,,,,,,Shan Xi ,
,,,,,,,,,,,,,,,,,,He Nan,
,,,,,,,,,,,,,,,,,,Fu Jian ,
,,,,,,,,,,,,,,,,,,Xin Jiang ,
,,,,,,,,,,,,,,,,,,Hu Bei ,
,,,,,,,,,,,,,,,,,,Hu Bei ,
,,,,,,,,,,,,,,,,,,Ji Lin ,
,,,,,,,,,,,,,,,,,,He Bei ,
,,,,,,,,,,,,,,,,,,Si Chuan ,
,,,,,,,,,,,,,,,,,,Hei Long Jiang ,
,,,,,,,,,,,,,,,,,,He Nan,
,,,,,,,,,,,,,,,,,,Guang Xi ,
,,,,,,,,,,,,,,,,,,He Bei ,
,,,,,,,,,,,,,,,,,,Si Chuan ,
,,,,,,,,,,,,,,,,,,Liao Ning ,
,,,,,,,,,,,,,,,,,,Si Chuan ,
,,,,,,,,,,,,,,,,,,Hu Bei ,
,,,,,,,,,,,,,,,,,,Hei Long Jiang ,
,,,,,,,,,,,,,,,,,,Hu Bei ,
,,,,,,,,,,,,,,,,,,Fu Jian ,
,,,,,,,,,,,,,,,,,,Shan Xi ,
,,,,,,,,,,,,,,,,,,Hei Long Jiang ,
,,,,,,,,,,,,,,,,,,Hu Nan,
,,,,,,,,,,,,,,,,,,Hu Bei ,
,,,,,,,,,,,,,,,,,,Si Chuan ,
,,,,,,,,,,,,,,,,,,Si Chuan ,
,,,,,,,,,,,,,,,,,,Guang Dong ,
,,,,,,,,,,,,,,,,,,Hu Nan,
,,,,,,,,,,,,,,,,,,Liao Ning ,
,,,,,,,,,,,,,,,,,,Hu Nan,
,,,,,,,,,,,,,,,,,,Liao Ning ,
,,,,,,,,,,,,,,,,,,Shan Xi ,
,,,,,,,,,,,,,,,,,,He Bei ,
,,,,,,,,,,,,,,,,,,Jiang Xi ,
,,,,,,,,,,,,,,,,,,Hu Nan,
,,,,,,,,,,,,,,,,,,Hu Nan,
,,,,,,,,,,,,,,,,,,Yun Nan,
,,,,,,,,,,,,,,,,,,Liao Ning ,
,,,,,,,,,,,,,,,,,,Fu Jian ,
,,,,,,,,,,,,,,,,,,He Nan,
,,,,,,,,,,,,,,,,,,Shan Xi ,
,,,,,,,,,,,,,,,,,,Si Chuan ,
,,,,,,,,,,,,,,,,,,Zhe Jiang ,
,,,,,,,,,,,,,,,,,,Si Chuan ,
,,,,,,,,,,,,,,,,,,An Hui ,
,,,,,,,,,,,,,,,,,,Liao Ning ,
,,,,,,,,,,,,,,,,,,An Hui ,
,,,,,,,,,,,,,,,,,,Hu Bei ,
,,,,,,,,,,,,,,,,,,Shan Xi ,
,,,,,,,,,,,,,,,,,,An Hui ,
,,,,,,,,,,,,,,,,,,An Hui ,
,,,,,,,,,,,,,,,,,,Ji Lin ,
,,,,,,,,,,,,,,,,,,Xin Jiang ,
,,,,,,,,,,,,,,,,,,Yun Nan,
,,,,,,,,,,,,,,,,,,An Hui ,
,,,,,,,,,,,,,,,,,,Guang Dong ,
,,,,,,,,,,,,,,,,,,Guang Xi ,
,,,,,,,,,,,,,,,,,,Zhe Jiang ,
,,,,,,,,,,,,,,,,,,Si Chuan ,
,,,,,,,,,,,,,,,,,,Guang Dong ,
,,,,,,,,,,,,,,,,,,Gui Zhou ,
,,,,,,,,,,,,,,,,,,Shan Xi ,
,,,,,,,,,,,,,,,,,,Zhe Jiang ,
,,,,,,,,,,,,,,,,,,Jiang Xi ,
,,,,,,,,,,,,,,,,,,Xin Jiang ,
,,,,,,,,,,,,,,,,,,Jiang Xi ,
,,,,,,,,,,,,,,,,,,Nei Meng ,
,,,,,,,,,,,,,,,,,,Nei Meng ,
,,,,,,,,,,,,,,,,,,He Nan,
,,,,,,,,,,,,,,,,,,Xin Jiang ,
,,,,,,,,,,,,,,,,,,Ji Lin ,
,,,,,,,,,,,,,,,,,,An Hui ,
,,,,,,,,,,,,,,,,,,Nei Meng ,
,,,,,,,,,,,,,,,,,,Si Chuan ,
,,,,,,,,,,,,,,,,,,Shan Xi ,
,,,,,,,,,,,,,,,,,,Hu Bei ,
,,,,,,,,,,,,,,,,,,An Hui ,
,,,,,,,,,,,,,,,,,,Si Chuan ,
,,,,,,,,,,,,,,,,,,Guang Xi ,
,,,,,,,,,,,,,,,,,,Guang Dong ,
,,,,,,,,,,,,,,,,,,Si Chuan ,
,,,,,,,,,,,,,,,,,,Gui Zhou ,
,,,,,,,,,,,,,,,,,,Guang Xi ,
,,,,,,,,,,,,,,,,,,Jiang Xi ,
,,,,,,,,,,,,,,,,,,An Hui ,
,,,,,,,,,,,,,,,,,,Liao Ning ,
,,,,,,,,,,,,,,,,,,Guang Dong ,
,,,,,,,,,,,,,,,,,,Guang Xi ,
,,,,,,,,,,,,,,,,,,Si Chuan ,
,,,,,,,,,,,,,,,,,,Yun Nan,
,,,,,,,,,,,,,,,,,,Hei Long Jiang ,
,,,,,,,,,,,,,,,,,,Ji Lin ,
,,,,,,,,,,,,,,,,,,Ji Lin ,
,,,,,,,,,,,,,,,,,,Shan Dong ,
,,,,,,,,,,,,,,,,,,Jiang Xi ,
,,,,,,,,,,,,,,,,,,Shan Xi ,
,,,,,,,,,,,,,,,,,,An Hui ,
,,,,,,,,,,,,,,,,,,An Hui ,
,,,,,,,,,,,,,,,,,,Guang Dong ,
,,,,,,,,,,,,,,,,,,Guang Dong ,
,,,,,,,,,,,,,,,,,,Shan Xi ,
,,,,,,,,,,,,,,,,,,Guang Xi ,
,,,,,,,,,,,,,,,,,,Ji Lin ,
,,,,,,,,,,,,,,,,,,Hai Nan,
,,,,,,,,,,,,,,,,,,Hu Bei ,
,,,,,,,,,,,,,,,,,,Hei Long Jiang ,
,,,,,,,,,,,,,,,,,,Guang Xi ,
,,,,,,,,,,,,,,,,,,Gan Su ,
,,,,,,,,,,,,,,,,,,Yun Nan,
,,,,,,,,,,,,,,,,,,Hai Nan,
,,,,,,,,,,,,,,,,,,Hei Long Jiang ,
,,,,,,,,,,,,,,,,,,Nei Meng ,
,,,,,,,,,,,,,,,,,,Hu Bei ,
,,,,,,,,,,,,,,,,,,Liao Ning ,
,,,,,,,,,,,,,,,,,,Yun Nan,
,,,,,,,,,,,,,,,,,,He Nan,
,,,,,,,,,,,,,,,,,,Guang Xi ,
,,,,,,,,,,,,,,,,,,Guang Dong ,
,,,,,,,,,,,,,,,,,,Ning Xia ,
,,,,,,,,,,,,,,,,,,Ning Xia ,
,,,,,,,,,,,,,,,,,,Gan Su ,
,,,,,,,,,,,,,,,,,,Gui Zhou ,
,,,,,,,,,,,,,,,,,,Qing Hai ,
,,,,,,,,,,,,,,,,,,Gan Su ,
,,,,,,,,,,,,,,,,,,Xin Jiang ,
,,,,,,,,,,,,,,,,,,Shan Xi ,
,,,,,,,,,,,,,,,,,,Guang Xi ,
,,,,,,,,,,,,,,,,,,Hu Bei ,
,,,,,,,,,,,,,,,,,,Jiang Xi ,
,,,,,,,,,,,,,,,,,,Yun Nan,
,,,,,,,,,,,,,,,,,,Gui Zhou ,
,,,,,,,,,,,,,,,,,,Si Chuan ,
,,,,,,,,,,,,,,,,,,Guang Xi ,
,,,,,,,,,,,,,,,,,,Gui Zhou ,
,,,,,,,,,,,,,,,,,,Xin Jiang ,
,,,,,,,,,,,,,,,,,,Nei Meng ,
,,,,,,,,,,,,,,,,,,Gui Zhou ,
,,,,,,,,,,,,,,,,,,Hu Bei ,
,,,,,,,,,,,,,,,,,,Hu Bei ,
,,,,,,,,,,,,,,,,,,Shan Xi ,
,,,,,,,,,,,,,,,,,,He Nan,
,,,,,,,,,,,,,,,,,,Qing Hai ,
,,,,,,,,,,,,,,,,,,Gan Su ,
,,,,,,,,,,,,,,,,,,An Hui ,
,,,,,,,,,,,,,,,,,,Xi Zang,
,,,,,,,,,,,,,,,,,,An Hui ,
,,,,,,,,,,,,,,,,,,Gan Su ,
,,,,,,,,,,,,,,,,,,Xin Jiang ,
,,,,,,,,,,,,,,,,,,Guang Xi ,
,,,,,,,,,,,,,,,,,,Si Chuan ,
,,,,,,,,,,,,,,,,,,Hu Nan,
,,,,,,,,,,,,,,,,,,Si Chuan ,
,,,,,,,,,,,,,,,,,,Yun Nan,
,,,,,,,,,,,,,,,,,,Nei Meng ,
,,,,,,,,,,,,,,,,,,Yun Nan,
,,,,,,,,,,,,,,,,,,Hei Long Jiang ,
,,,,,,,,,,,,,,,,,,Hei Long Jiang ,
,,,,,,,,,,,,,,,,,,Yun Nan,
,,,,,,,,,,,,,,,,,,Gui Zhou ,
,,,,,,,,,,,,,,,,,,Ning Xia ,
,,,,,,,,,,,,,,,,,,Hu Nan,
,,,,,,,,,,,,,,,,,,Gan Su ,
,,,,,,,,,,,,,,,,,,Hu Bei ,
,,,,,,,,,,,,,,,,,,Ning Xia ,
,,,,,,,,,,,,,,,,,,Hei Long Jiang ,
,,,,,,,,,,,,,,,,,,Gan Su ,
,,,,,,,,,,,,,,,,,,Shan Xi ,
,,,,,,,,,,,,,,,,,,Xin Jiang ,
,,,,,,,,,,,,,,,,,,Hei Long Jiang ,
,,,,,,,,,,,,,,,,,,Gan Su ,
,,,,,,,,,,,,,,,,,,Xin Jiang ,
,,,,,,,,,,,,,,,,,,Gan Su ,
,,,,,,,,,,,,,,,,,,Yun Nan,
,,,,,,,,,,,,,,,,,,Gan Su ,
,,,,,,,,,,,,,,,,,,Xi Zang,
,,,,,,,,,,,,,,,,,,Gan Su ,
,,,,,,,,,,,,,,,,,,Yun Nan,
,,,,,,,,,,,,,,,,,,Xin Jiang ,
,,,,,,,,,,,,,,,,,,Si Chuan ,
,,,,,,,,,,,,,,,,,,Yun Nan,
,,,,,,,,,,,,,,,,,,Xi Zang,
,,,,,,,,,,,,,,,,,,Xin Jiang ,
,,,,,,,,,,,,,,,,,,Xin Jiang ,
,,,,,,,,,,,,,,,,,,Si Chuan ,
,,,,,,,,,,,,,,,,,,Xin Jiang ,
,,,,,,,,,,,,,,,,,,Qing Hai ,
,,,,,,,,,,,,,,,,,,Gan Su ,
,,,,,,,,,,,,,,,,,,Hei Long Jiang ,
,,,,,,,,,,,,,,,,,,Xi Zang,
,,,,,,,,,,,,,,,,,,Xin Jiang ,
,,,,,,,,,,,,,,,,,,Xi Zang,
,,,,,,,,,,,,,,,,,,Yun Nan,
,,,,,,,,,,,,,,,,,,Gan Su ,
,,,,,,,,,,,,,,,,,,Qing Hai ,
,,,,,,,,,,,,,,,,,,Xin Jiang ,
,,,,,,,,,,,,,,,,,,Xin Jiang ,
,,,,,,,,,,,,,,,,,,Qing Hai ,
,,,,,,,,,,,,,,,,,,Yun Nan,
,,,,,,,,,,,,,,,,,,Xi Zang,
,,,,,,,,,,,,,,,,,,Qing Hai ,
,,,,,,,,,,,,,,,,,,Xin Jiang ,
,,,,,,,,,,,,,,,,,,Xi Zang,
,,,,,,,,,,,,,,,,,,Qing Hai ,
,,,,,,,,,,,,,,,,,,Hu Bei ,
,,,,,,,,,,,,,,,,,,Hai Nan,
